"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",2
"7",5
"8",6
"9",2
"10",2
"11",7
"12",2
"13",8
"14",9
"15",1
"16",10
"17",11
"18",5
"19",9
"20",1
"21",5
"22",2
"23",7
"24",5
"25",12
"26",11
"27",12
"28",2
"29",12
"30",5
"31",2
"32",11
"33",9
"34",13
"35",12
"36",5
"37",11
"38",7
"39",2
"40",7
"41",9
"42",12
"43",14
"44",11
"45",2
"46",11
"47",15
"48",9
"49",10
"50",16
"51",15
"52",1
"53",4
"54",5
"55",17
"56",18
"57",1
"58",2
"59",7
"60",19
"61",20
"62",11
"63",11
"64",2
"65",6
"66",2
"67",7
"68",5
"69",12
"70",4
"71",2
"72",1
"73",9
"74",10
"75",11
"76",7
"77",4
"78",2
"79",12
"80",4
"81",8
"82",12
"83",1
"84",1
"85",5
"86",9
"87",9
"88",1
"89",18
"90",20
"91",11
"92",12
"93",7
"94",2
"95",9
"96",19
"97",2
"98",1
"99",18
"100",3
"101",5
"102",11
"103",12
"104",9
"105",10
"106",11
"107",1
"108",4
"109",12
"110",1
"111",11
"112",10
"113",11
"114",4
"115",21
"116",2
"117",18
"118",19
"119",10
"120",10
"121",9
"122",11
"123",11
"124",6
"125",11
"126",9
"127",6
"128",12
"129",11
"130",20
"131",11
"132",7
"133",9
"134",2
"135",2
"136",10
"137",2
"138",7
"139",10
"140",10
"141",4
"142",1
"143",2
"144",9
"145",5
"146",7
"147",7
"148",1
"149",12
"150",9
"151",10
"152",7
"153",10
"154",16
"155",11
"156",11
"157",7
"158",12
"159",4
"160",1
"161",4
"162",10
"163",11
"164",7
"165",11
"166",2
"167",2
"168",2
"169",5
"170",2
"171",5
"172",16
"173",4
"174",9
"175",11
"176",3
"177",11
"178",5
"179",7
"180",16
"181",20
"182",11
"183",4
"184",11
"185",1
"186",5
"187",2
"188",20
"189",7
"190",9
"191",1
"192",10
"193",18
"194",9
"195",2
"196",10
"197",12
"198",12
"199",6
"200",12
"201",5
"202",2
"203",4
"204",1
"205",2
"206",5
"207",9
"208",1
"209",9
"210",4
"211",11
"212",11
"213",6
"214",19
"215",11
"216",1
"217",9
"218",9
"219",14
"220",18
"221",18
"222",5
"223",6
"224",4
"225",18
"226",11
"227",2
"228",18
"229",12
"230",4
"231",1
"232",2
"233",1
"234",4
"235",2
"236",2
"237",10
"238",9
"239",4
"240",20
"241",1
"242",9
"243",4
"244",10
"245",9
"246",5
"247",9
"248",11
"249",21
"250",10
"251",1
"252",11
"253",11
"254",15
"255",12
"256",18
"257",4
"258",2
"259",7
"260",4
"261",9
"262",9
"263",9
"264",18
"265",2
"266",4
"267",1
"268",4
"269",13
"270",18
"271",3
"272",12
"273",7
"274",9
"275",2
"276",2
"277",10
"278",4
"279",16
"280",9
"281",1
"282",3
"283",11
"284",11
"285",4
"286",11
"287",2
"288",5
"289",9
"290",5
"291",21
"292",9
"293",9
"294",22
"295",5
"296",1
"297",4
"298",10
"299",6
"300",9
"301",10
"302",1
"303",1
"304",12
"305",19
"306",12
"307",7
"308",3
"309",4
"310",9
"311",18
"312",2
"313",12
"314",11
"315",23
"316",10
"317",1
"318",7
"319",9
"320",15
"321",11
"322",9
"323",2
"324",4
"325",9
"326",12
"327",10
"328",11
"329",12
"330",2
"331",4
"332",14
"333",10
"334",11
"335",1
"336",16
"337",1
"338",19
"339",20
"340",9
"341",2
"342",9
"343",11
"344",10
"345",5
"346",10
"347",3
"348",9
"349",18
"350",5
"351",2
"352",20
"353",11
"354",15
"355",9
"356",1
"357",19
"358",4
"359",18
"360",9
"361",9
"362",19
"363",9
"364",12
"365",2
"366",2
"367",2
"368",1
"369",11
"370",7
"371",5
"372",5
"373",10
"374",19
"375",11
"376",5
"377",12
"378",1
"379",1
"380",24
"381",10
"382",1
"383",1
"384",2
"385",12
"386",11
"387",1
"388",12
"389",4
"390",9
"391",11
"392",11
"393",2
"394",7
"395",10
"396",18
"397",6
"398",4
"399",9
"400",4
"401",12
"402",12
"403",11
"404",7
"405",20
"406",9
"407",1
"408",2
"409",9
"410",9
"411",14
"412",4
"413",11
"414",20
"415",1
"416",4
"417",2
"418",1
"419",2
"420",2
"421",2
"422",5
"423",2
"424",2
"425",1
"426",9
"427",1
"428",11
"429",2
"430",10
"431",18
"432",12
"433",1
"434",1
"435",11
"436",12
"437",1
"438",9
"439",4
"440",22
"441",1
"442",14
"443",9
"444",2
"445",2
"446",20
"447",19
"448",12
"449",6
"450",4
"451",2
"452",2
"453",1
"454",11
"455",20
"456",2
"457",4
"458",16
"459",1
"460",10
"461",11
"462",2
"463",5
"464",3
"465",5
"466",9
"467",2
"468",16
"469",9
"470",5
